GroupID,SubjectNum,ProlificID,s8_gptbase_app,s8_gptbase_emp,s8_llama_app,s8_llama_emp,s8_mistral_app,s8_mistral_emp,s8_gptlow_app,s8_gptlow_emp,s8_gpthigh_app,s8_gpthigh_emp,s8_human_app,s8_human_emp,s9_llama_app,s9_llama_emp,s9_mistral_app,s9_mistral_emp,s9_gptlow_app,s9_gptlow_emp,s9_gpthigh_app,s9_gpthigh_emp,s9_human_app,s9_human_emp,s9_gptbase_app,s9_gptbase_emp,s10_mistral_app,s10_mistral_emp,s10_gptlow_app,s10_gptlow_emp,s10_gpthigh_app,s10_gpthigh_emp,s10_human_app,s10_human_emp,s10_gptbase_app,s10_gptbase_emp,s10_llama_app,s10_llama_emp,s11_gptlow_app,s11_gptlow_emp,s11_gpthigh_app,s11_gpthigh_emp,s11_human_app,s11_human_emp,s11_gptbase_app,s11_gptbase_emp,s11_llama_app,s11_llama_emp,s11_mistral_app,s11_mistral_emp,s12_gpthigh_app,s12_gpthigh_emp,s12_human_app,s12_human_emp,s12_gptbase_app,s12_gptbase_emp,s12_llama_app,s12_llama_emp,s12_mistral_app,s12_mistral_emp,s12_gptlow_app,s12_gptlow_emp,s13_human_app,s13_human_emp,s13_gptbase_app,s13_gptbase_emp,s13_llama_app,s13_llama_emp,s13_mistral_app,s13_mistral_emp,s13_gptlow_app,s13_gptlow_emp,s13_gpthigh_app,s13_gpthigh_emp,s14_gptbase_app,s14_gptbase_emp,s14_llama_app,s14_llama_emp,s14_mistral_app,s14_mistral_emp,s14_gptlow_app,s14_gptlow_emp,s14_gpthigh_app,s14_gpthigh_emp,s14_human_app,s14_human_emp,s15_llama_app,s15_llama_emp,s15_mistral_app,s15_mistral_emp,s15_gptlow_app,s15_gptlow_emp,s15_gpthigh_app,s15_gpthigh_emp,s15_human_app,s15_human_emp,s15_gptbase_app,s15_gptbase_emp,age,gender,native language,english,hispanic,income,education
2,1,65cd3a4c58e3019111dfb62a,5,5,5,4,5,3,4,2,4,3,4,2,5,5,5,4,4,1,5,3,5,3,5,4,5,5,2,1,5,5,5,4,5,5,5,5,5,2,5,4,5,3,5,4,5,4,5,4,5,4,5,3,5,4,5,4,5,4,4,1,5,3,5,5,5,4,5,4,5,3,5,3,5,4,5,4,5,4,4,2,5,3,4,2,5,4,5,4,4,2,5,3,4,2,5,4,40,2,English,1,2,11,6
2,2,57237b5b84458100130240bc,5,4,5,3,5,2,5,1,5,2,5,4,5,3,5,3,5,1,5,4,5,3,5,3,5,4,4,1,5,5,5,5,5,4,5,5,5,4,5,5,5,3,5,4,5,4,5,4,5,2,5,1,5,3,5,3,5,3,5,1,5,1,5,2,5,3,5,2,5,1,5,4,5,3,5,2,5,2,5,1,5,3,5,1,5,4,5,2,5,1,5,4,5,1,5,2,48,1,English,1,2,7,5
2,3,64429c6f926610597b4bf681,5,5,4,5,4,4,3,2,4,5,4,4,4,5,4,4,3,2,4,4,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,5,4,3,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,5,4,5,4,5,4,3,4,5,5,5,5,4,4,4,4,2,4,5,4,2,5,4,4,4,4,4,4,5,4,3,4,5,61,1,English,1,2,10,6
2,4,65c009d9f5273153e073f655,5,5,5,5,4,4,4,3,5,5,4,4,5,5,4,4,2,1,4,5,5,5,4,4,5,5,1,1,4,5,3,5,5,5,3,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,4,3,5,5,4,4,4,4,2,2,3,4,5,5,5,5,4,4,2,2,4,5,5,4,5,5,4,4,2,2,5,5,3,2,5,5,4,4,3,3,5,5,2,4,5,5,24,2,English,1,2,5,5
2,5,5d64759fedf23500018f9334,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,4,2,5,4,5,3,5,5,5,4,1,1,5,5,5,4,5,3,5,4,5,3,5,5,5,5,5,4,5,5,5,4,5,5,4,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,4,4,4,5,5,4,2,5,5,5,4,5,4,5,5,2,2,5,5,54,2,English ,1,2,12,6
2,6,5cab4ce7fc216d0016162830,5,5,5,5,5,5,3,1,4,4,4,3,5,5,5,4,4,1,5,5,5,5,5,4,5,3,1,1,4,5,4,3,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,1,5,4,5,4,5,3,4,1,4,3,5,5,5,5,5,3,4,2,5,3,5,5,5,4,4,3,3,1,5,5,3,1,5,5,5,2,5,2,5,4,4,1,5,4,37,2,English,1,2,8,6
2,7,6329da934d2de8bcae57eed0,4,4,3,4,2,4,5,3,4,4,5,5,5,5,4,4,4,2,4,4,4,5,4,4,4,3,4,1,4,4,5,5,4,4,5,5,4,3,4,3,5,5,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,3,5,4,4,3,4,3,4,3,4,3,5,4,4,4,3,3,4,4,5,2,3,2,5,4,5,4,4,3,5,3,4,3,4,3,4,4,19,1,English,1,2,4,2
2,8,6554d2b8183af16a85112e28,5,5,4,4,5,4,5,3,4,4,5,5,4,4,4,3,5,4,5,4,5,5,4,3,5,4,4,2,4,2,5,3,4,3,5,4,4,4,4,4,5,4,4,3,5,3,5,5,4,3,4,4,5,4,4,3,4,4,5,3,4,5,4,3,4,3,4,4,4,3,5,3,4,5,5,4,4,3,4,4,4,5,4,3,4,4,4,3,4,5,5,3,4,4,4,3,25,1,English,1,2,6,6
2,9,6524305322b1779f67502b35,4,5,3,5,2,4,2,2,4,2,3,5,4,2,4,5,2,2,2,4,4,2,2,4,3,5,3,4,2,4,5,3,3,2,2,4,3,4,4,2,5,4,2,4,3,4,3,4,3,4,4,2,4,5,2,3,3,2,4,4,3,5,3,2,3,4,3,4,3,2,3,5,3,4,2,3,2,5,3,4,2,4,4,3,4,3,3,2,4,2,3,4,4,2,2,4,69,1,English,2,2,7,6
2,10,6325be0383521bf19d932615,5,5,3,3,4,3,2,1,4,4,4,2,5,5,4,4,4,3,4,5,5,3,5,4,5,5,1,2,3,4,2,4,3,4,4,4,4,3,3,5,4,5,4,4,5,5,4,4,4,4,3,2,4,4,3,4,4,4,4,3,3,4,5,5,3,3,4,4,3,4,5,5,4,4,4,3,3,3,3,4,4,4,3,4,4,4,4,4,4,3,3,4,3,3,4,4,34,1,English,1,2,9,5
2,11,65c252b8c77492c4cd360a09,4,3,5,5,3,3,2,1,5,4,5,4,4,3,4,3,2,2,5,4,4,4,4,4,5,4,1,1,4,3,3,2,5,5,5,5,4,3,5,5,3,2,4,3,5,4,4,4,5,5,4,3,3,2,4,2,5,4,4,4,1,1,5,5,5,4,5,4,3,3,5,4,5,5,4,4,3,3,2,2,4,3,2,2,5,4,5,5,4,3,4,3,5,4,5,4,,2,,2,2,6,6
2,12,6336e41b9c3ad46a883741fc,4,3,4,5,5,3,4,3,5,4,5,4,1,3,2,2,4,3,3,4,5,4,5,3,5,5,1,2,5,5,5,5,5,5,5,5,4,2,4,3,4,2,1,4,5,5,4,5,5,4,4,2,5,3,5,4,5,4,5,3,4,5,5,4,5,4,3,5,5,3,5,4,4,4,5,4,5,3,2,2,5,3,2,4,4,5,3,3,5,4,5,4,5,4,5,4,24,1,English,1,2,9,4
2,13,5f87d9bfc31a1322cfc32cbd,5,3,5,3,5,2,5,1,5,4,5,5,4,2,5,3,4,1,5,3,5,4,4,2,5,2,1,1,4,2,1,2,5,2,5,3,5,2,4,5,5,5,5,4,5,3,5,2,5,2,4,1,5,1,5,2,5,2,4,1,5,3,5,3,5,4,5,2,3,1,3,2,5,4,5,3,5,2,3,5,5,2,5,1,5,3,5,2,5,2,5,4,2,1,5,4,38,2,English ,1,1,7,5
2,14,65a5afee21ddeb8aafa892fd,4,4,5,5,5,5,5,2,4,3,5,5,1,4,2,4,4,4,4,5,4,3,5,4,4,4,3,1,5,4,5,5,4,4,4,3,2,5,2,4,4,5,4,5,5,5,4,4,4,3,4,4,5,3,5,5,4,5,4,1,4,2,4,2,5,4,4,3,4,3,5,4,4,5,5,2,4,1,4,3,4,4,2,2,4,1,4,2,4,3,4,4,4,3,4,4,51,1,ENGLISH,1,2,11,6
2,15,55a4323dfdf99b02ff6caf81,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,3,4,3,5,4,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,3,5,4,5,4,5,4,4,3,4,3,5,4,5,4,5,4,5,5,5,5,4,2,5,3,5,4,5,3,5,3,4,4,5,5,41,1,English ,1,2,5,4
2,16,6537eeee061d17231e89c8e6,5,3,4,5,4,5,3,4,4,4,3,5,4,5,3,5,4,5,4,3,3,4,4,5,5,4,4,3,4,4,4,4,3,4,5,4,3,4,3,4,4,3,5,4,4,4,4,3,4,4,3,3,4,2,5,4,4,5,2,4,3,2,4,1,4,3,5,5,4,5,4,4,4,5,3,4,4,4,4,4,3,4,4,5,4,5,3,5,5,4,4,5,4,3,4,4,56,1,english,1,2,11,5
2,17,562cfb97733ea0000a162a0b,5,5,5,5,4,5,3,3,5,4,4,3,5,4,4,4,3,3,4,4,5,4,5,4,5,5,2,1,5,4,4,4,5,5,4,5,4,1,5,5,5,4,4,3,4,4,4,3,5,3,5,3,5,4,5,3,4,2,4,2,2,2,3,4,5,4,4,3,1,1,3,4,5,5,5,4,4,3,5,4,4,4,3,2,5,3,5,3,4,2,5,4,2,3,5,4,43,1,english,1,2,12,5
2,18,62769797db0ff6f93df21cda,2,2,4,3,3,2,4,4,4,3,4,3,4,4,3,2,4,2,4,4,3,2,3,3,3,3,5,4,2,2,3,3,2,1,4,3,4,3,4,4,4,4,3,3,2,2,4,2,5,3,4,3,3,3,3,2,4,4,2,2,3,3,4,2,4,3,2,2,4,2,4,3,2,2,4,3,3,3,2,2,4,3,4,3,2,2,3,2,3,3,4,4,3,2,3,1,42,1,,1,2,3,2
2,19,65b00e15c91bb63e6979a49f,5,4,5,4,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,3,5,4,4,4,4,5,5,5,4,3,4,4,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,5,5,5,4,5,4,4,4,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,3,5,4,4,5,4,2,5,4,67,1,English,1,2,8,5
2,20,629288376055ad7fb05bbf77,5,5,4,4,4,4,4,2,5,5,5,5,3,5,4,4,3,2,5,5,4,4,5,5,4,5,2,1,5,5,4,5,5,5,5,5,5,5,4,3,5,4,5,5,4,4,5,4,5,5,3,2,5,5,5,5,5,4,4,2,4,4,4,4,5,5,4,4,3,2,4,4,5,5,5,5,5,5,4,3,5,5,5,5,4,4,5,4,4,4,4,5,3,3,5,5,48,1,english,1,2,7,5
2,21,5dacf0bb8f8b6800114d9013,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,2,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,2,2,5,5,5,5,5,4,5,5,5,5,5,5,22,1,"English, Spanish",1,1,12,5
2,22,65c23e917987e70eae4d5d73,5,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,3,4,4,2,4,4,4,4,4,4,4,3,3,5,4,4,2,2,4,4,4,4,4,5,5,5,4,4,4,3,2,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,4,2,4,4,4,4,2,4,4,4,4,4,4,4,,1,English ,1,2,6,4
2,23,657cbd52949ddd9d3426dbba,5,5,5,5,5,5,2,2,4,3,4,3,5,5,5,5,1,1,5,5,5,4,5,5,5,4,1,1,5,5,5,5,5,5,5,5,4,3,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,4,1,5,4,5,5,5,5,5,5,4,2,5,5,5,4,5,5,5,4,4,2,5,5,5,5,5,5,5,5,4,3,5,5,2,1,5,4,71,2,English,1,2,5,3
2,24,5a73c8ab82968f0001a6d7f4,5,4,5,4,5,4,5,3,5,5,4,4,5,4,5,4,3,3,5,4,5,5,5,4,5,5,2,3,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,3,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,3,4,2,5,4,5,5,5,4,5,4,2,3,4,5,4,2,5,4,5,4,5,2,5,5,4,3,5,4,21,2,English,1,2,6,3
2,25,63d807630c4c634d732c19e8,5,5,4,4,4,3,4,2,5,5,4,3,5,5,5,5,3,2,5,5,4,4,5,5,5,5,1,1,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,4,4,4,4,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,3,3,3,2,5,5,1,1,5,5,5,5,3,2,4,4,2,1,5,5,52,2,English,1,2,3,3
2,26,60fe076cdaf85311b32cb6a0,5,5,5,5,5,5,4,3,5,5,4,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,1,1,5,5,4,4,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,3,5,4,5,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,4,3,5,5,4,3,5,5,5,5,5,5,5,5,4,4,5,5,62,2,English ,1,2,12,3
2,27,5e76ca9681ea06243ff82c46,3,1,2,1,4,2,3,1,4,3,4,2,4,2,3,1,2,1,4,2,4,3,4,2,4,2,2,1,3,2,1,1,1,1,1,1,3,1,4,3,5,3,4,2,4,3,3,2,4,2,4,2,4,2,5,3,4,2,4,1,4,3,4,2,4,4,4,1,4,1,4,1,2,1,3,2,5,3,2,1,2,1,3,1,5,3,4,2,5,2,4,2,3,2,5,2,30,1,English,1,2,12,1
2,28,6335f1eb5ef26b8fa705d96e,5,5,5,5,5,5,4,3,4,5,4,5,5,5,5,4,4,1,5,5,5,4,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,3,4,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,4,5,3,5,5,4,5,5,5,5,5,3,2,4,5,5,5,5,5,5,4,2,2,4,5,5,4,5,5,5,4,5,3,5,5,5,3,5,5,33,1,English,1,2,3,5
2,29,65da69e82071e92f6d842bc2,5,5,5,5,5,3,2,2,5,4,4,4,5,5,4,2,2,1,5,5,5,4,5,3,5,5,1,1,5,5,5,5,5,5,5,5,4,3,3,4,5,5,5,4,5,5,5,5,5,4,4,2,5,5,5,5,4,2,2,1,4,4,5,5,5,4,4,2,1,2,3,2,5,5,5,3,5,4,1,2,3,3,2,2,5,5,4,2,3,2,5,5,2,2,5,4,25,2,English,1,2,11,3
2,30,5f97253793335bOa74991119,5,5,5,4,3,3,2,1,5,5,3,3,5,5,5,4,1,1,5,5,4,3,5,4,5,5,1,1,5,5,2,3,5,5,4,4,4,2,5,4,5,4,5,4,5,5,4,4,5,4,5,5,5,5,4,3,4,3,2,2,4,5,4,5,5,5,4,4,3,2,3,3,4,4,5,5,4,4,2,1,4,3,4,2,5,5,5,4,4,2,4,3,2,2,5,5,72,2,English,1,2,6,3
2,31,65661eb44ccd2298e4c3cd23,5,5,5,5,5,5,4,3,5,5,4,4,5,5,5,4,4,1,5,5,5,4,5,3,5,5,1,1,5,5,4,4,5,5,5,5,5,2,5,5,5,5,5,4,5,5,5,5,5,5,4,2,5,2,5,4,5,5,5,2,4,4,4,4,5,5,5,5,5,4,5,4,5,5,5,4,5,3,4,4,5,4,5,1,5,4,5,2,5,1,5,5,2,2,5,5,48,2,English,1,1,11,5
2,32,60f728553a37102574b585c4,5,4,5,4,4,2,2,1,4,3,4,4,5,5,5,4,4,2,4,2,4,2,4,3,5,4,1,1,5,4,4,3,5,5,4,2,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,4,3,4,2,3,1,4,2,5,4,5,5,5,4,3,1,4,3,4,2,5,4,4,3,2,1,4,2,1,1,5,5,4,2,4,2,5,5,4,2,5,5,,2,,1,2,11,6
2,33,628f76b86068bc13224921ce,5,5,4,4,4,3,1,1,5,5,2,4,5,5,4,4,1,1,5,4,4,4,5,4,4,4,1,1,5,5,2,2,5,5,4,3,1,1,4,4,4,4,4,3,4,5,4,4,5,4,5,4,5,4,5,4,4,2,3,1,4,3,5,5,4,4,5,3,1,1,5,5,5,5,5,5,4,2,1,1,5,5,1,1,4,5,5,4,2,1,5,5,1,1,5,5,33,1,English,1,2,8,6
2,34,6237e3dd84d00736f51ed0e4,3,2,3,2,4,3,3,2,4,3,2,1,4,4,3,2,2,1,4,3,3,1,3,2,3,2,2,1,4,4,4,4,3,2,4,4,4,2,4,4,4,3,4,3,4,4,4,2,4,3,3,2,4,3,4,3,4,3,3,2,3,2,4,3,4,4,4,3,3,1,4,3,4,4,4,4,4,3,3,2,4,3,3,2,4,2,3,2,3,1,4,3,3,2,4,3,51,4,english,1,2,10,5
2,35,65b3dad843773844cda50ff5,4,4,5,5,4,4,5,4,4,5,3,3,5,5,4,4,5,4,4,5,5,4,2,1,4,4,5,5,3,4,3,3,4,4,5,4,2,2,3,2,4,5,4,3,3,5,3,5,4,3,4,3,3,4,4,5,5,5,3,2,2,3,3,2,3,4,4,5,4,3,5,4,3,4,5,4,4,3,5,5,4,4,5,4,3,3,2,1,3,2,4,3,2,3,4,4,52,1,english,1,2,8,5
2,36,615374d9fd9b41728babd974,5,4,5,4,3,3,1,1,4,4,4,4,4,2,4,3,4,2,4,2,4,4,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,4,4,3,3,3,4,3,4,5,5,5,4,4,4,3,4,4,4,4,5,5,4,4,5,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,1,1,3,3,3,3,5,3,5,3,4,3,4,4,3,3,4,3,59,2,English,1,2,7,6
2,37,5f117601aeef1d5095578b01,5,4,4,3,5,4,3,2,5,5,3,1,5,5,5,5,4,2,5,4,4,4,5,5,5,5,1,1,5,5,4,5,5,5,5,5,4,2,5,5,5,5,5,4,5,5,5,4,5,5,4,2,4,2,5,4,5,5,5,5,5,5,5,5,4,5,4,5,2,4,4,4,1,1,1,1,5,4,3,4,4,4,5,3,5,5,5,3,5,2,5,4,2,2,5,3,36,2,English,1,2,5,3
2,38,637e4fc1594d2ded19f7e071,4,2,4,2,4,1,2,1,5,4,4,2,4,2,4,1,2,1,5,3,4,2,4,2,4,1,2,1,5,5,2,1,4,2,4,1,4,1,5,4,4,2,4,2,4,3,3,1,5,3,2,1,4,2,3,2,3,1,2,1,4,2,5,2,4,5,3,1,2,1,3,1,4,1,3,1,4,1,2,1,5,3,2,1,5,3,4,2,3,1,5,4,3,1,5,4,57,2,English,1,2,11,6
2,39,5efe29d315ba872fa20a9c3d,4,4,5,5,5,4,3,2,4,3,4,4,5,5,4,3,4,2,4,3,3,2,4,4,5,5,2,2,4,4,3,3,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,3,3,3,4,2,4,2,3,3,4,3,4,2,4,4,5,4,5,5,4,3,3,2,5,5,4,5,5,4,4,4,3,2,3,3,3,1,5,4,5,3,5,3,4,2,4,3,4,3,27,1,English,1,2,4,6
2,40,63ff612a5b78c13aa28fa88c,4,4,5,4,4,4,4,4,4,5,5,4,3,4,4,5,5,4,3,4,4,5,3,2,3,5,3,4,4,5,3,4,5,4,3,4,4,5,3,4,2,2,4,3,4,4,4,4,4,5,3,5,3,4,4,5,4,3,4,5,4,5,4,4,3,4,4,5,3,4,3,4,3,4,4,4,4,3,4,4,5,4,4,3,4,3,3,4,4,5,3,4,4,4,3,5,63,1,english,1,2,11,5
2,41,60b348a8332d26d4b88be6a1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,5,2,5,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,4,4,4,5,4,5,4,5,4,5,4,5,41,1,english,1,2,11,5
2,42,64721b8657ab72945a1fc401,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,4,2,4,3,4,2,4,4,4,5,5,5,4,5,4,5,4,4,4,4,4,2,4,4,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,4,3,4,3,4,3,4,3,2,2,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,51,2,English,1,2,5,3
2,43,628d62e2c99c773b217f1321,5,4,4,4,4,4,4,2,4,3,4,5,5,4,4,1,4,2,5,4,5,3,4,4,4,2,1,1,5,4,2,2,4,3,4,1,5,3,4,3,5,3,5,2,5,3,5,3,4,5,4,4,4,2,4,2,4,2,4,1,4,3,5,4,4,3,4,2,2,1,4,2,4,2,4,1,4,1,2,1,4,3,4,1,5,2,4,1,4,1,4,3,2,2,5,3,29,1,English,1,2,6,3
