GroupID,SubjectNum,ProlificID,s1_human_app,s1_human_emp,s1_gptbase_app,s1_gptbase_emp,s1_llama_app,s1_llama_emp,s1_mistral_app,s1_mistral_emp,s1_gptlow_app,s1_gptlow_emp,s1_gpthigh_app,s1_gpthigh_emp,s2_gptbase_app,s2_gptbase_emp,s2_llama_app,s2_llama_emp,s2_mistral_app,s2_mistral_emp,s2_gptlow_app,s2_gptlow_emp,s2_gpthigh_app,s2_gpthigh_emp,s2_human_app,s2_human_emp,s3_llama_app,s3_llama_emp,s3_mistral_app,s3_mistral_emp,s3_gptlow_app,s3_gptlow_emp,s3_gpthigh_app,s3_gpthigh_emp,s3_human_app,s3_human_emp,s3_gptbase_app,s3_gptbase_emp,s4_mistral_app,s4_mistral_emp,s4_gptlow_app,s4_gptlow_emp,s4_gpthigh_app,s4_gpthigh_emp,s4_human_app,s4_human_emp,s4_gptbase_app,s4_gptbase_emp,s4_llama_app,s4_llama_emp,s5_gptlow_app,s5_gptlow_emp,s5_gpthigh_app,s5_gpthigh_emp,s5_human_app,s5_human_emp,s5_gptbase_app,s5_gptbase_emp,s5_llama_app,s5_llama_emp,s5_mistral_app,s5_mistral_emp,s6_gpthigh_app,s6_gpthigh_emp,s6_human_app,s6_human_emp,s6_gptbase_app,s6_gptbase_emp,s6_llama_app,s6_llama_emp,s6_mistral_app,s6_mistral_emp,s6_gptlow_app,s6_gptlow_emp,s7_human_app,s7_human_emp,s7_gptbase_app,s7_gptbase_emp,s7_llama_app,s7_llama_emp,s7_mistral_app,s7_mistral_emp,s7_gptlow_app,s7_gptlow_emp,s7_gpthigh_app,s7_gpthigh_emp,age,gender,native language,english,hispanic,income,education
1,1,63d40583fbdb78bfb9b0d3a4,5,4,5,5,5,5,4,3,4,2,4,3,4,4,5,5,3,3,2,1,4,3,5,5,4,5,3,2,4,2,4,4,5,4,4,5,5,5,2,2,4,5,4,3,4,4,4,4,2,1,4,4,4,3,5,4,4,5,4,3,4,3,5,4,4,3,5,4,5,3,4,2,5,5,5,5,5,5,5,5,3,3,5,4,24,2,English,1,2,5,3
1,2,6103d82ef69d9151fdd6c2cb,4,3,5,3,5,4,5,5,4,1,5,3,5,5,2,4,5,4,3,1,5,5,2,2,5,4,4,3,3,1,5,5,4,4,5,5,5,5,4,1,5,4,5,4,5,5,5,4,3,1,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,3,3,1,5,5,5,5,4,4,5,4,3,3,5,5,48,2,English ,1,2,8,3
1,3,6273173c798a3e4be8c46e30,3,2,3,2,3,1,3,2,3,2,3,2,3,3,3,2,3,2,4,2,3,3,3,2,3,3,3,2,3,1,3,3,3,3,3,3,4,2,3,2,3,3,4,3,3,2,3,3,4,3,4,4,4,3,4,3,4,4,4,3,2,3,3,2,3,3,3,2,3,1,3,2,4,4,3,3,5,2,3,3,4,1,4,3,47,1,english,1,2,4,2
1,4,653048d5d815e00c2baa7296,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,3,5,4,5,1,5,5,2,5,5,5,5,5,3,1,5,5,4,5,5,5,5,5,2,1,5,5,3,2,5,5,5,5,5,5,4,4,5,5,3,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,4,2,5,5,21,2,English,1,2,6,3
1,5,5c2f232d0091e40001cbbf2b,4,5,5,5,5,4,4,4,4,5,5,5,5,5,1,2,5,4,4,2,5,5,1,5,5,5,5,3,4,3,5,5,3,4,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,4,5,5,5,5,3,5,4,5,5,4,5,5,3,5,5,5,4,5,5,5,5,4,2,5,5,28,1,English Spanish,1,1,5,3
1,6,657c8527ff457717fd7c50e7,5,4,5,2,5,2,4,1,5,3,4,2,4,2,5,2,4,1,5,2,5,2,5,3,5,1,3,1,4,1,4,2,4,2,4,2,2,1,4,2,4,2,5,4,5,3,5,4,4,1,4,3,5,3,5,2,5,3,5,2,4,1,5,3,5,2,5,2,5,2,4,2,5,5,4,2,2,1,4,2,4,1,4,2,28,2,English,1,2,2,5
1,7,60fd05d893767fcb40666fc7,5,2,5,3,5,2,5,2,4,1,5,4,5,5,4,4,5,3,4,1,5,5,2,2,5,3,4,2,3,1,4,5,5,4,5,4,5,4,2,1,5,5,5,4,5,4,5,5,4,2,5,5,4,5,5,4,5,4,5,3,5,5,4,3,5,4,5,5,5,2,3,1,5,5,5,4,3,2,4,3,2,1,5,4,32,2,English,1,2,3,5
1,8,65dd3dc943536b2621c46f21,5,4,5,5,5,4,5,5,5,3,4,5,5,5,2,5,5,3,3,1,5,5,1,3,5,5,5,4,3,1,5,5,3,3,5,5,5,5,3,3,5,5,2,3,5,5,5,5,3,3,5,5,5,5,5,5,4,5,5,3,5,5,2,2,5,5,5,4,4,2,3,1,2,2,4,4,3,2,4,3,4,3,5,5,20,2,English,1,2,10,3
1,9,608f52575bb0d2fe263bfb5b,4,4,5,5,5,5,5,5,2,3,5,5,5,5,4,4,5,5,4,2,5,4,1,3,5,5,4,4,3,3,4,5,4,5,5,5,5,5,1,1,5,4,3,4,5,5,5,5,3,3,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,5,5,4,4,2,1,5,5,5,5,5,5,5,5,3,4,5,5,29,1,English,1,1,5,6
1,10,63d7ade1683b50598105d5c1,3,2,5,3,5,4,5,3,3,1,3,5,5,4,3,3,5,3,3,1,5,5,1,2,4,5,4,2,3,1,3,5,3,5,4,4,4,3,2,1,3,5,4,3,3,5,4,4,3,1,5,4,5,5,5,3,5,4,4,3,5,4,5,4,5,3,4,5,4,3,3,1,4,5,5,5,4,3,4,3,3,2,4,4,42,1,English,1,2,4,4
