post_num,domain,length,seeker_post,human_resp_original,ColumnID,Text,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,100,42.65,51.99,85.71,20.23,16.67,15,94,76,56,17,11,5,0,5,0,1,6,18,7,2,15,7,9,5,3,22,5,7,4,1,3,0,17,0,17,5,1,2,6,2,3,0,2,1,1,1,1,0,0,0,0,0,12,4,0,0,0,0,2,8,0,0,0,0,0,0,0,0,9,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,13,0,5,5,1,0,2,3,2,9,1,0,0,0,0,0,14,5,4,1,0,3,1,0
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,152,65.84,92.39,87.07,87.33,19,26.97,96.71,69.74,55.26,14.47,9.87,1.32,0,8.55,0,0,4.61,12.5,7.89,0,19.08,9.87,5.92,6.58,1.32,15.79,6.58,3.29,3.29,0,2.63,0.66,20.39,0,20.39,7.24,1.97,3.95,5.26,0,3.95,0,4.61,4.61,0,0.66,0.66,0,0,0,0,0,14.47,5.26,0,0.66,0,0.66,3.29,9.21,0,0,0,0,0,0,0,0,7.89,0,0,5.26,2.63,0,0.66,0,0,0,0,0,0,0,0,0.66,0.66,1.97,0,0.66,0,1.32,1.32,0,3.95,10.53,1.32,3.95,3.95,1.32,0,0.66,7.89,4.61,7.24,0.66,0,0,0,0,0,15.13,5.26,3.95,0,0,5.92,0,0
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,173,23.68,63.99,94.97,56.29,15.73,31.21,94.22,65.9,54.91,15.61,8.67,1.16,0,6.36,0,1.16,6.94,15.61,5.2,1.16,11.56,9.83,5.2,10.4,1.73,14.45,5.78,2.89,2.89,0,1.16,1.73,21.39,0,21.39,5.78,0,1.73,9.83,1.73,8.09,0.58,4.62,3.47,1.16,2.31,1.16,1.16,0,0.58,0,0,14.45,5.78,0,0.58,0,0,4.05,8.67,0,0,0,0,0,0,0,0,8.67,0,0,6.36,2.31,0,1.16,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,0.58,0.58,0,2.89,9.83,1.16,4.62,4.62,0,0,0,4.62,2.89,6.94,1.73,0.58,0.58,0,0,0,17.34,5.2,5.2,0,1.16,5.2,0.58,0
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,122,40.68,76.91,87.98,44.83,20.33,24.59,95.08,73.77,58.2,13.11,7.38,0.82,1.64,4.92,0,0,5.74,11.48,4.92,0.82,17.21,13.11,6.56,8.2,0.82,22.13,6.56,3.28,3.28,1.64,0.82,0.82,18.85,0,18.85,3.28,0.82,0.82,8.2,0,5.74,0.82,3.28,1.64,0,1.64,0,0,0,0,0,0,13.93,6.56,1.64,0,0,0,4.1,7.38,0,0,0,0,0,0,0,0,6.56,0,0,4.1,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0,0.82,4.92,9.84,0.82,4.1,5.74,0,0.82,0,5.74,3.28,9.02,4.1,0,0,0,0,0,14.75,4.92,4.92,0,0,4.92,0,0
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,73,4.93,96.47,37.99,63.38,18.25,8.22,97.26,84.93,69.86,21.92,10.96,0,0,8.22,0,1.37,10.96,15.07,5.48,1.37,15.07,13.7,13.7,9.59,0,23.29,5.48,4.11,1.37,0,0,1.37,17.81,2.74,15.07,1.37,1.37,2.74,10.96,0,6.85,0,2.74,2.74,0,1.37,1.37,0,0,0,0,0,19.18,5.48,0,0,0,0,4.11,12.33,0,0,0,0,0,0,0,0,5.48,0,0,4.11,1.37,0,1.37,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0,9.59,8.22,0,2.74,5.48,0,0,0,2.74,1.37,13.7,1.37,1.37,1.37,0,0,0,19.18,5.48,4.11,0,0,8.22,1.37,0
1,work,77,I was reviewing my compensation and saw I got a 3% merit raise in December. I have yet to complete my review. No one told me about the raise. Is it typical for companies to provide raises at the end of the year or in the review period - jan - March. I am hoping what I got isn’t it and I get a cost of living raise. I have always gotten something in the review period.,"In my experience, I also got my raises after a review. However, I don’t know what job circle you are working in. In the current times of 2024, the job market is being hit pretty hard with high interest rates so a lot of businesses are trying to cut back on spending. I really hope that your 3% raise isn’t all you got. Have you tried talking to your coworkers about raises? Perhaps its merely an HR issue, plus it doesn’t make a whole lot of sense to give someone a raise without explaining their performances that reflected said raise.",,,1,127,25.62,98.24,33.34,57.15,21.17,28.35,96.06,71.65,59.06,20.47,10.24,0.79,0,9.45,0,0,10.24,16.54,7.87,0.79,14.96,12.6,6.3,7.87,0.79,19.69,4.72,0.79,1.57,0,0.79,0.79,22.05,0,22.05,6.3,0,4.72,7.09,0,2.36,0,7.09,4.72,2.36,3.15,0.79,2.36,1.57,0,0,0,16.54,6.3,0.79,0.79,0,0,2.36,10.24,0,0,0,0,0,0,0,0,4.72,0,0,2.36,2.36,0,0.79,0,0,0,0,0,0,0,0,1.57,0.79,0.79,0.79,0,0,1.57,0,0,2.36,10.24,0.79,1.57,6.3,0.79,0,1.57,3.15,4.72,11.02,2.36,0,0,0,0,0,14.17,3.94,2.36,0.79,0,6.3,0.79,0
2,work,145,"Hey I just wanted to confirm and see if this is common or its just me. I am currently managing a team in a small office. Well, I should be at least. There is no team. I'm trying to hire the team. But every time an interview gets scheduled, they don't show up. Don't call, nothing. I even do Zoom interviews if that's more convenient for them. I'm currently waiting on a candidate to join the zoom meeting while I type this ( been 10 minutes now). Even though she confirmed she would be joining at 9.02 this morning. TF is going on. Its my 5th candidate that does this. Is this common behavior? Does everyone go thru this when hiring? This is only my second management position and the first came with a full staff so its my first time hiring for multiple positions.","Bro, that is so weird. Why the heck would someone ask to get interviewed and then just never show up ever? What job are you even managing by the way, that is so weird that you got hired to simply hire other people. You shouldn’t be placed in a position like that. Have you tried asking for help internally about the issue? Beyond these slew of questions, it seems that you are a bit stressed about the situation since you can’t even do your job without people being hired. Final questions : how are these people applying to the job by the way? Is there any type of new info that is presented in between their application process and interview request?",human,"Bro, that is so weird. Why the heck would someone ask to get interviewed and then just never show up ever? What job are you even managing by the way, that is so weird that you got hired to simply hire other people. You shouldn’t be placed in a position like that. Have you tried asking for help internally about the issue? Beyond these slew of questions, it seems that you are a bit stressed about the situation since you can’t even do your job without people being hired. I haven’t been in your position before but I am trying to build a team and not even having the resources to back you up must be really frustrating. I want you to know that these no-shows do not reflect anything about yourself as a manager. Final questions : how are these people applying to the job by the way? Is there any type of new info that is presented in between their application process and interview request?",1,166,18.65,77.23,58.31,20.23,16.6,15.66,94.58,75.3,65.66,17.47,9.04,1.81,0,6.63,0,0.6,8.43,15.66,6.63,0,15.66,12.65,10.84,6.02,3.61,18.67,3.01,0.6,4.22,1.81,1.2,1.2,18.07,1.2,16.87,4.22,1.81,4.22,3.61,2.41,4.22,0,2.41,1.2,1.2,1.2,0,1.2,0.6,0.6,0,0,13.25,4.22,1.2,0.6,0,0,2.41,9.64,0,0,0,0.6,0,0,0,0,6.63,0,0,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.2,0,0,0,0,0,1.2,4.82,10.84,0,0,9.04,1.81,0,0,4.22,2.41,6.02,0,0.6,0.6,0,0,0,10.84,3.61,1.81,2.41,0,1.81,1.2,0
2,work,145,"Hey I just wanted to confirm and see if this is common or its just me. I am currently managing a team in a small office. Well, I should be at least. There is no team. I'm trying to hire the team. But every time an interview gets scheduled, they don't show up. Don't call, nothing. I even do Zoom interviews if that's more convenient for them. I'm currently waiting on a candidate to join the zoom meeting while I type this ( been 10 minutes now). Even though she confirmed she would be joining at 9.02 this morning. TF is going on. Its my 5th candidate that does this. Is this common behavior? Does everyone go thru this when hiring? This is only my second management position and the first came with a full staff so its my first time hiring for multiple positions.","Bro, that is so weird. Why the heck would someone ask to get interviewed and then just never show up ever? What job are you even managing by the way, that is so weird that you got hired to simply hire other people. You shouldn’t be placed in a position like that. Have you tried asking for help internally about the issue? Beyond these slew of questions, it seems that you are a bit stressed about the situation since you can’t even do your job without people being hired. Final questions : how are these people applying to the job by the way? Is there any type of new info that is presented in between their application process and interview request?",gpt_base,"I'm really sorry to hear about the challenges you're facing with no-show candidates. It can be incredibly frustrating and disheartening when you're trying to build a team and the people you're counting on to interview don't follow through. Unfortunately, this has become a more common occurrence in many industries, especially with the ease of applying to jobs online and the impersonal nature of digital communication. It's not a reflection of your capabilities as a manager.
 
 It might be helpful to consider confirming the interview a day in advance and perhaps even an hour before the scheduled time. This could help to ensure that the candidate remembers and prioritizes the interview. Additionally, you might want to ask for confirmation of their attendance as part of your scheduling process. Remember, the right candidates those who are reliable and enthusiastic will show up. It's a tough process, but it's important not to lose hope. Keep pushing forward, and you'll find the team members you're looking for. Hang in there!",1,166,63.39,90.15,9.35,67.67,15.09,27.11,91.57,74.1,57.23,12.05,6.63,0.6,0,4.82,0,0.6,5.42,15.66,10.24,0,16.27,11.45,6.02,7.23,1.81,22.89,6.02,3.01,5.42,2.41,2.41,0.6,12.65,0,12.65,3.01,0,3.01,2.41,1.2,2.41,1.2,6.63,4.82,1.81,2.41,1.2,1.2,0,0.6,0.6,0,15.66,6.63,3.01,0,0,0,3.01,10.24,0,0,0,0,3.01,1.81,0,1.2,4.82,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0.6,0.6,1.2,4.82,9.04,1.81,0.6,4.22,2.41,0.6,0,3.01,1.81,7.23,3.01,0,0,0,0,0,16.87,6.02,3.61,0,0.6,6.02,0.6,0
2,work,145,"Hey I just wanted to confirm and see if this is common or its just me. I am currently managing a team in a small office. Well, I should be at least. There is no team. I'm trying to hire the team. But every time an interview gets scheduled, they don't show up. Don't call, nothing. I even do Zoom interviews if that's more convenient for them. I'm currently waiting on a candidate to join the zoom meeting while I type this ( been 10 minutes now). Even though she confirmed she would be joining at 9.02 this morning. TF is going on. Its my 5th candidate that does this. Is this common behavior? Does everyone go thru this when hiring? This is only my second management position and the first came with a full staff so its my first time hiring for multiple positions.","Bro, that is so weird. Why the heck would someone ask to get interviewed and then just never show up ever? What job are you even managing by the way, that is so weird that you got hired to simply hire other people. You shouldn’t be placed in a position like that. Have you tried asking for help internally about the issue? Beyond these slew of questions, it seems that you are a bit stressed about the situation since you can’t even do your job without people being hired. Final questions : how are these people applying to the job by the way? Is there any type of new info that is presented in between their application process and interview request?",llama_base,"Hey there! Oh my, it sounds like you're going through a bit of a frustrating experience! 😔 I can totally understand your concern, especially since this is your first time hiring for multiple positions. 🤔 First of all, let me assure you that it's not uncommon for candidates to cancel or not show up for interviews, especially in today's job market. 🙃 It's possible that some candidates may be overwhelmed with other opportunities or may have changed their minds about the position. 🤷‍♀️ However, it's important to remember that you have the power to set boundaries and expectations with your candidates. 💪 You can start by clearly communicating your expectations for the interview process, such as the time and date of the interview, and the consequences of not showing up or cancelling at the last minute. 📝 It might also be helpful to have a backup plan in place, such as having a list of alternative candidates ready to go in case someone doesn't show up. 💡 And don't be afraid to follow up with no-shows to see if they're still interested in the position. 📞 Remember that hiring is a two-way street, and it's okay to be picky about who you choose to bring onto your team. 😊 Good luck, and I hope you find some amazing candidates soon! 🤞",1,211,54.22,75.07,69,57.27,17.58,20.85,93.84,74.88,61.14,14.22,8.53,1.9,0,5.21,0,0.95,5.69,15.64,6.16,0.95,18.48,10.9,5.21,7.11,2.37,18.96,4.74,3.79,1.9,0.47,0.95,0.47,16.11,0.47,15.64,2.84,1.42,1.42,4.74,1.42,4.74,0.95,6.16,4.27,1.9,2.84,1.42,1.42,0.95,0.47,0,0,13.27,3.79,0.95,0,0,0,1.9,9.95,0,0,0,0,2.37,2.37,0,0,3.32,0,0,2.84,0.47,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0,0,0.47,0.95,0.47,8.53,11.85,0.47,1.42,7.58,1.9,0.47,0,3.79,1.9,6.16,5.21,1.42,0.47,0.47,0.47,0,15.17,3.79,4.74,0,1.42,4.27,0.95,5.21
2,work,145,"Hey I just wanted to confirm and see if this is common or its just me. I am currently managing a team in a small office. Well, I should be at least. There is no team. I'm trying to hire the team. But every time an interview gets scheduled, they don't show up. Don't call, nothing. I even do Zoom interviews if that's more convenient for them. I'm currently waiting on a candidate to join the zoom meeting while I type this ( been 10 minutes now). Even though she confirmed she would be joining at 9.02 this morning. TF is going on. Its my 5th candidate that does this. Is this common behavior? Does everyone go thru this when hiring? This is only my second management position and the first came with a full staff so its my first time hiring for multiple positions.","Bro, that is so weird. Why the heck would someone ask to get interviewed and then just never show up ever? What job are you even managing by the way, that is so weird that you got hired to simply hire other people. You shouldn’t be placed in a position like that. Have you tried asking for help internally about the issue? Beyond these slew of questions, it seems that you are a bit stressed about the situation since you can’t even do your job without people being hired. Final questions : how are these people applying to the job by the way? Is there any type of new info that is presented in between their application process and interview request?",mistral_base,"I'm really sorry to hear that you're experiencing frustration with candidates not showing up to scheduled interviews. It can be disheartening and time-consuming, especially when you're trying to build a team. It's important to remember that no-shows are not uncommon in the hiring process, and there can be various reasons for it such as unforeseen circumstances or miscommunication. You're not alone in this experience, and it's a learning opportunity for you as a manager to explore different interview formats, communication channels, and follow-up strategies to minimize no-shows and ensure a productive hiring process. Keep persisting, and don't hesitate to reach out if you need any additional support or resources.",1,109,31.45,40.06,51.66,63.58,21.8,36.7,87.16,68.81,54.13,11.93,5.5,0.92,0,4.59,0,0,6.42,9.17,4.59,0,14.68,11.01,4.59,11.01,3.67,19.27,7.34,1.83,6.42,0.92,4.59,0.92,18.35,0,18.35,3.67,0.92,3.67,4.59,0.92,7.34,0.92,6.42,4.59,1.83,1.83,0,1.83,0,0.92,0.92,0,13.76,6.42,2.75,0,0,0,2.75,7.34,0,0,0,0,0.92,0.92,0,0,7.34,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.92,0.92,0.92,2.75,9.17,0.92,1.83,5.5,0.92,0.92,0,2.75,0.92,9.17,0,0,0,0,0,0,20.18,4.59,5.5,0,0,6.42,3.67,0
